tamanho,otimizacao,coluna,linha,razao_coluna_linha
512,O0,0.55125116,0.47229140000000003,1.1671844119964918
512,O2,0.5687512,0.11841404000000001,4.8030723383814955
512,O3,0.61004656,0.11895363999999999,5.128439617316461
1024,O0,5.36318952,1.88777624,2.8410091229880083
1024,O2,3.28630524,0.532894,6.166902310778504
1024,O3,2.93748788,0.52355776,5.610628099562501
2048,O0,28.83072648,7.58188404,3.802580773841537
2048,O2,23.327966,2.37931268,9.804497826658075
2048,O3,25.8554528,2.4828514,10.413612671302035
4096,O0,194.69046935999998,30.890534640000002,6.302593063827916
4096,O2,167.12596624000003,9.3408754,17.891895468384046
4096,O3,167.58771683999998,9.45430336,17.72607779321352
