experimento,tamanho,otimizacao,algoritmo,bloco,repeticao,tempo_ms,checksum
multiplicacao,128,O0,normal,0,1,7.720259,5339435904.00
multiplicacao,128,O0,blocos,32,1,5.784382,5339435904.00
multiplicacao,128,O0,normal,0,2,6.622971,5339435904.00
multiplicacao,128,O0,blocos,32,2,3.800324,5339435904.00
multiplicacao,128,O0,normal,0,3,4.030246,5339435904.00
multiplicacao,128,O0,blocos,32,3,3.765571,5339435904.00
multiplicacao,128,O0,normal,0,4,3.958367,5339435904.00
multiplicacao,128,O0,blocos,32,4,3.760742,5339435904.00
multiplicacao,128,O0,normal,0,5,3.958191,5339435904.00
multiplicacao,128,O0,blocos,32,5,3.738876,5339435904.00
multiplicacao,128,O0,normal,0,6,3.942562,5339435904.00
multiplicacao,128,O0,blocos,32,6,3.770370,5339435904.00
multiplicacao,128,O0,normal,0,7,3.968274,5339435904.00
multiplicacao,128,O0,blocos,32,7,3.779753,5339435904.00
multiplicacao,128,O0,normal,0,8,3.890312,5339435904.00
multiplicacao,128,O0,blocos,32,8,3.773180,5339435904.00
multiplicacao,128,O0,normal,0,9,3.962359,5339435904.00
multiplicacao,128,O0,blocos,32,9,3.767339,5339435904.00
multiplicacao,128,O0,normal,0,10,3.966546,5339435904.00
multiplicacao,128,O0,blocos,32,10,3.766141,5339435904.00
multiplicacao,256,O0,normal,0,1,30.319759,42756651456.00
multiplicacao,256,O0,blocos,32,1,30.755218,42756651456.00
multiplicacao,256,O0,normal,0,2,30.171129,42756651456.00
multiplicacao,256,O0,blocos,32,2,30.709274,42756651456.00
multiplicacao,256,O0,normal,0,3,30.802331,42756651456.00
multiplicacao,256,O0,blocos,32,3,30.775741,42756651456.00
multiplicacao,256,O0,normal,0,4,30.605686,42756651456.00
multiplicacao,256,O0,blocos,32,4,30.667243,42756651456.00
multiplicacao,256,O0,normal,0,5,30.533006,42756651456.00
multiplicacao,256,O0,blocos,32,5,30.612485,42756651456.00
multiplicacao,256,O0,normal,0,6,30.582758,42756651456.00
multiplicacao,256,O0,blocos,32,6,30.669839,42756651456.00
multiplicacao,256,O0,normal,0,7,30.158889,42756651456.00
multiplicacao,256,O0,blocos,32,7,31.116963,42756651456.00
multiplicacao,256,O0,normal,0,8,30.411839,42756651456.00
multiplicacao,256,O0,blocos,32,8,30.843118,42756651456.00
multiplicacao,256,O0,normal,0,9,43.922540,42756651456.00
multiplicacao,256,O0,blocos,32,9,37.959400,42756651456.00
multiplicacao,256,O0,normal,0,10,35.100314,42756651456.00
multiplicacao,256,O0,blocos,32,10,36.588351,42756651456.00
multiplicacao,512,O0,normal,0,1,384.679245,342226199104.00
multiplicacao,512,O0,blocos,32,1,249.055001,342226199104.00
multiplicacao,512,O0,normal,0,2,328.102326,342226199104.00
multiplicacao,512,O0,blocos,32,2,246.605349,342226199104.00
multiplicacao,512,O0,normal,0,3,320.622244,342226199104.00
multiplicacao,512,O0,blocos,32,3,245.629732,342226199104.00
multiplicacao,512,O0,normal,0,4,323.707564,342226199104.00
multiplicacao,512,O0,blocos,32,4,246.249222,342226199104.00
multiplicacao,512,O0,normal,0,5,353.823869,342226199104.00
multiplicacao,512,O0,blocos,32,5,251.876736,342226199104.00
multiplicacao,512,O0,normal,0,6,329.458265,342226199104.00
multiplicacao,512,O0,blocos,32,6,247.271372,342226199104.00
multiplicacao,512,O0,normal,0,7,318.256694,342226199104.00
multiplicacao,512,O0,blocos,32,7,245.308464,342226199104.00
multiplicacao,512,O0,normal,0,8,312.249542,342226199104.00
multiplicacao,512,O0,blocos,32,8,245.721085,342226199104.00
multiplicacao,512,O0,normal,0,9,338.007938,342226199104.00
multiplicacao,512,O0,blocos,32,9,247.167646,342226199104.00
multiplicacao,512,O0,normal,0,10,316.539627,342226199104.00
multiplicacao,512,O0,blocos,32,10,245.212413,342226199104.00
