experimento,tamanho,otimizacao,algoritmo,bloco,repeticao,tempo_ms,checksum
multiplicacao,128,O0,normal,0,1,6.476063,5339435904.00
multiplicacao,128,O0,blocos,32,1,3.738519,5339435904.00
multiplicacao,128,O0,normal,0,2,5.755926,5339435904.00
multiplicacao,128,O0,blocos,32,2,3.549981,5339435904.00
multiplicacao,128,O0,normal,0,3,3.966341,5339435904.00
multiplicacao,128,O0,blocos,32,3,4.675495,5339435904.00
multiplicacao,128,O0,normal,0,4,4.237282,5339435904.00
multiplicacao,128,O0,blocos,32,4,3.314844,5339435904.00
multiplicacao,128,O0,normal,0,5,4.027922,5339435904.00
multiplicacao,128,O0,blocos,32,5,3.575076,5339435904.00
multiplicacao,128,O0,normal,0,6,3.922090,5339435904.00
multiplicacao,128,O0,blocos,32,6,3.540126,5339435904.00
multiplicacao,128,O0,normal,0,7,4.077434,5339435904.00
multiplicacao,128,O0,blocos,32,7,3.271962,5339435904.00
multiplicacao,128,O0,normal,0,8,4.052740,5339435904.00
multiplicacao,128,O0,blocos,32,8,3.194467,5339435904.00
multiplicacao,128,O0,normal,0,9,4.044350,5339435904.00
multiplicacao,128,O0,blocos,32,9,3.510171,5339435904.00
multiplicacao,128,O0,normal,0,10,4.034459,5339435904.00
multiplicacao,128,O0,blocos,32,10,3.757364,5339435904.00
multiplicacao,256,O0,normal,0,1,30.584318,42756651456.00
multiplicacao,256,O0,blocos,32,1,26.693432,42756651456.00
multiplicacao,256,O0,normal,0,2,30.403679,42756651456.00
multiplicacao,256,O0,blocos,32,2,27.903284,42756651456.00
multiplicacao,256,O0,normal,0,3,34.313851,42756651456.00
multiplicacao,256,O0,blocos,32,3,27.094298,42756651456.00
multiplicacao,256,O0,normal,0,4,30.665865,42756651456.00
multiplicacao,256,O0,blocos,32,4,26.853171,42756651456.00
multiplicacao,256,O0,normal,0,5,31.161720,42756651456.00
multiplicacao,256,O0,blocos,32,5,26.741091,42756651456.00
multiplicacao,256,O0,normal,0,6,30.628283,42756651456.00
multiplicacao,256,O0,blocos,32,6,27.285294,42756651456.00
multiplicacao,256,O0,normal,0,7,30.852730,42756651456.00
multiplicacao,256,O0,blocos,32,7,26.933774,42756651456.00
multiplicacao,256,O0,normal,0,8,30.385045,42756651456.00
multiplicacao,256,O0,blocos,32,8,26.968331,42756651456.00
multiplicacao,256,O0,normal,0,9,30.921885,42756651456.00
multiplicacao,256,O0,blocos,32,9,27.692719,42756651456.00
multiplicacao,256,O0,normal,0,10,30.251239,42756651456.00
multiplicacao,256,O0,blocos,32,10,27.060898,42756651456.00
multiplicacao,512,O0,normal,0,1,325.629115,342226199104.00
multiplicacao,512,O0,blocos,32,1,219.072924,342226199104.00
multiplicacao,512,O0,normal,0,2,313.921534,342226199104.00
multiplicacao,512,O0,blocos,32,2,216.100801,342226199104.00
multiplicacao,512,O0,normal,0,3,336.397367,342226199104.00
multiplicacao,512,O0,blocos,32,3,220.833378,342226199104.00
multiplicacao,512,O0,normal,0,4,319.198072,342226199104.00
multiplicacao,512,O0,blocos,32,4,221.288078,342226199104.00
multiplicacao,512,O0,normal,0,5,317.085059,342226199104.00
multiplicacao,512,O0,blocos,32,5,216.405053,342226199104.00
multiplicacao,512,O0,normal,0,6,319.795183,342226199104.00
multiplicacao,512,O0,blocos,32,6,218.370257,342226199104.00
multiplicacao,512,O0,normal,0,7,315.665550,342226199104.00
multiplicacao,512,O0,blocos,32,7,218.557389,342226199104.00
multiplicacao,512,O0,normal,0,8,322.240316,342226199104.00
multiplicacao,512,O0,blocos,32,8,223.019091,342226199104.00
multiplicacao,512,O0,normal,0,9,324.150574,342226199104.00
multiplicacao,512,O0,blocos,32,9,216.629516,342226199104.00
multiplicacao,512,O0,normal,0,10,312.237594,342226199104.00
multiplicacao,512,O0,blocos,32,10,217.499510,342226199104.00
multiplicacao,128,O2,normal,0,1,1.820009,5339435904.00
multiplicacao,128,O2,blocos,32,1,1.324091,5339435904.00
multiplicacao,128,O2,normal,0,2,1.808459,5339435904.00
multiplicacao,128,O2,blocos,32,2,1.320351,5339435904.00
multiplicacao,128,O2,normal,0,3,1.807759,5339435904.00
multiplicacao,128,O2,blocos,32,3,1.320603,5339435904.00
multiplicacao,128,O2,normal,0,4,1.374666,5339435904.00
multiplicacao,128,O2,blocos,32,4,0.591890,5339435904.00
multiplicacao,128,O2,normal,0,5,1.118657,5339435904.00
multiplicacao,128,O2,blocos,32,5,0.595560,5339435904.00
multiplicacao,128,O2,normal,0,6,1.091201,5339435904.00
multiplicacao,128,O2,blocos,32,6,0.618242,5339435904.00
multiplicacao,128,O2,normal,0,7,1.122941,5339435904.00
multiplicacao,128,O2,blocos,32,7,0.582921,5339435904.00
multiplicacao,128,O2,normal,0,8,1.096004,5339435904.00
multiplicacao,128,O2,blocos,32,8,0.582980,5339435904.00
multiplicacao,128,O2,normal,0,9,1.101656,5339435904.00
multiplicacao,128,O2,blocos,32,9,0.575811,5339435904.00
multiplicacao,128,O2,normal,0,10,1.094378,5339435904.00
multiplicacao,128,O2,blocos,32,10,0.594122,5339435904.00
multiplicacao,256,O2,normal,0,1,8.885488,42756651456.00
multiplicacao,256,O2,blocos,32,1,5.690413,42756651456.00
multiplicacao,256,O2,normal,0,2,8.594270,42756651456.00
multiplicacao,256,O2,blocos,32,2,5.673862,42756651456.00
multiplicacao,256,O2,normal,0,3,8.648627,42756651456.00
multiplicacao,256,O2,blocos,32,3,5.590176,42756651456.00
multiplicacao,256,O2,normal,0,4,8.556986,42756651456.00
multiplicacao,256,O2,blocos,32,4,5.658248,42756651456.00
multiplicacao,256,O2,normal,0,5,8.591981,42756651456.00
multiplicacao,256,O2,blocos,32,5,5.617608,42756651456.00
multiplicacao,256,O2,normal,0,6,8.586675,42756651456.00
multiplicacao,256,O2,blocos,32,6,5.644292,42756651456.00
multiplicacao,256,O2,normal,0,7,8.576078,42756651456.00
multiplicacao,256,O2,blocos,32,7,5.626095,42756651456.00
multiplicacao,256,O2,normal,0,8,8.586455,42756651456.00
multiplicacao,256,O2,blocos,32,8,5.615192,42756651456.00
multiplicacao,256,O2,normal,0,9,8.555254,42756651456.00
multiplicacao,256,O2,blocos,32,9,5.629004,42756651456.00
multiplicacao,256,O2,normal,0,10,8.542068,42756651456.00
multiplicacao,256,O2,blocos,32,10,5.603629,42756651456.00
multiplicacao,512,O2,normal,0,1,261.611794,342226199104.00
multiplicacao,512,O2,blocos,32,1,58.091852,342226199104.00
multiplicacao,512,O2,normal,0,2,270.054909,342226199104.00
multiplicacao,512,O2,blocos,32,2,59.782789,342226199104.00
