experimento,tamanho,otimizacao,tipo_acesso,repeticao,tempo_ms,soma
linha_coluna,512,O2,linha,1,0.114409,12974896.00
linha_coluna,512,O2,coluna,1,0.549565,12974896.00
linha_coluna,512,O2,linha,2,0.116924,12974896.00
linha_coluna,512,O2,coluna,2,0.557045,12974896.00
linha_coluna,512,O2,linha,3,0.117779,12974896.00
linha_coluna,512,O2,coluna,3,0.557315,12974896.00
linha_coluna,512,O2,linha,4,0.114250,12974896.00
linha_coluna,512,O2,coluna,4,0.548799,12974896.00
linha_coluna,512,O2,linha,5,0.116815,12974896.00
linha_coluna,512,O2,coluna,5,0.589044,12974896.00
linha_coluna,512,O2,linha,6,0.114268,12974896.00
linha_coluna,512,O2,coluna,6,0.613796,12974896.00
linha_coluna,512,O2,linha,7,0.114254,12974896.00
linha_coluna,512,O2,coluna,7,0.613027,12974896.00
linha_coluna,512,O2,linha,8,0.116900,12974896.00
linha_coluna,512,O2,coluna,8,0.625898,12974896.00
linha_coluna,512,O2,linha,9,0.129784,12974896.00
linha_coluna,512,O2,coluna,9,0.547269,12974896.00
linha_coluna,512,O2,linha,10,0.114288,12974896.00
linha_coluna,512,O2,coluna,10,0.557772,12974896.00
linha_coluna,512,O2,linha,11,0.114270,12974896.00
linha_coluna,512,O2,coluna,11,0.562010,12974896.00
linha_coluna,512,O2,linha,12,0.116924,12974896.00
linha_coluna,512,O2,coluna,12,0.593817,12974896.00
linha_coluna,512,O2,linha,13,0.114252,12974896.00
linha_coluna,512,O2,coluna,13,0.587980,12974896.00
linha_coluna,512,O2,linha,14,0.120072,12974896.00
linha_coluna,512,O2,coluna,14,0.559491,12974896.00
linha_coluna,512,O2,linha,15,0.117130,12974896.00
linha_coluna,512,O2,coluna,15,0.554311,12974896.00
linha_coluna,512,O2,linha,16,0.118130,12974896.00
linha_coluna,512,O2,coluna,16,0.559193,12974896.00
linha_coluna,512,O2,linha,17,0.116990,12974896.00
linha_coluna,512,O2,coluna,17,0.563263,12974896.00
linha_coluna,512,O2,linha,18,0.117274,12974896.00
linha_coluna,512,O2,coluna,18,0.561241,12974896.00
linha_coluna,512,O2,linha,19,0.120325,12974896.00
linha_coluna,512,O2,coluna,19,0.546284,12974896.00
linha_coluna,512,O2,linha,20,0.118501,12974896.00
linha_coluna,512,O2,coluna,20,0.557969,12974896.00
linha_coluna,512,O2,linha,21,0.117235,12974896.00
linha_coluna,512,O2,coluna,21,0.545135,12974896.00
linha_coluna,512,O2,linha,22,0.117115,12974896.00
linha_coluna,512,O2,coluna,22,0.557166,12974896.00
linha_coluna,512,O2,linha,23,0.118358,12974896.00
linha_coluna,512,O2,coluna,23,0.559768,12974896.00
linha_coluna,512,O2,linha,24,0.118266,12974896.00
linha_coluna,512,O2,coluna,24,0.556684,12974896.00
linha_coluna,512,O2,linha,25,0.121008,12974896.00
linha_coluna,512,O2,coluna,25,0.558947,12974896.00
linha_coluna,512,O2,linha,26,0.117454,12974896.00
linha_coluna,512,O2,coluna,26,0.561236,12974896.00
linha_coluna,512,O2,linha,27,0.117385,12974896.00
linha_coluna,512,O2,coluna,27,0.554252,12974896.00
linha_coluna,512,O2,linha,28,0.120232,12974896.00
linha_coluna,512,O2,coluna,28,0.584218,12974896.00
linha_coluna,512,O2,linha,29,0.131043,12974896.00
linha_coluna,512,O2,coluna,29,0.576870,12974896.00
linha_coluna,512,O2,linha,30,0.118893,12974896.00
linha_coluna,512,O2,coluna,30,0.561183,12974896.00
linha_coluna,1024,O2,linha,1,0.506192,51903600.00
linha_coluna,1024,O2,coluna,1,3.280199,51903600.00
linha_coluna,1024,O2,linha,2,0.551743,51903600.00
linha_coluna,1024,O2,coluna,2,3.310899,51903600.00
