experimento,tamanho,otimizacao,tipo_acesso,repeticao,tempo_ms,soma
linha_coluna,512,O0,linha,1,0.941125,12974896.00
linha_coluna,512,O0,coluna,1,0.950894,12974896.00
linha_coluna,512,O0,linha,2,0.946207,12974896.00
linha_coluna,512,O0,coluna,2,0.964976,12974896.00
linha_coluna,512,O0,linha,3,0.489369,12974896.00
linha_coluna,512,O0,coluna,3,0.613628,12974896.00
linha_coluna,512,O0,linha,4,0.466265,12974896.00
linha_coluna,512,O0,coluna,4,0.546332,12974896.00
linha_coluna,512,O0,linha,5,0.473785,12974896.00
linha_coluna,512,O0,coluna,5,0.664608,12974896.00
linha_coluna,512,O0,linha,6,0.469504,12974896.00
linha_coluna,512,O0,coluna,6,0.624711,12974896.00
linha_coluna,512,O0,linha,7,0.463155,12974896.00
linha_coluna,512,O0,coluna,7,0.611079,12974896.00
linha_coluna,512,O0,linha,8,0.498046,12974896.00
linha_coluna,512,O0,coluna,8,0.663036,12974896.00
linha_coluna,512,O0,linha,9,0.472814,12974896.00
linha_coluna,512,O0,coluna,9,0.543556,12974896.00
linha_coluna,512,O0,linha,10,0.468144,12974896.00
linha_coluna,512,O0,coluna,10,0.537708,12974896.00
linha_coluna,512,O0,linha,11,0.468232,12974896.00
linha_coluna,512,O0,coluna,11,0.529357,12974896.00
linha_coluna,512,O0,linha,12,0.466336,12974896.00
linha_coluna,512,O0,coluna,12,0.545261,12974896.00
linha_coluna,512,O0,linha,13,0.472227,12974896.00
linha_coluna,512,O0,coluna,13,0.555852,12974896.00
linha_coluna,512,O0,linha,14,0.474701,12974896.00
linha_coluna,512,O0,coluna,14,0.557218,12974896.00
linha_coluna,512,O0,linha,15,0.472507,12974896.00
linha_coluna,512,O0,coluna,15,0.525380,12974896.00
linha_coluna,512,O0,linha,16,0.471636,12974896.00
linha_coluna,512,O0,coluna,16,0.553970,12974896.00
linha_coluna,512,O0,linha,17,0.465756,12974896.00
linha_coluna,512,O0,coluna,17,0.612964,12974896.00
linha_coluna,512,O0,linha,18,0.475921,12974896.00
linha_coluna,512,O0,coluna,18,0.540686,12974896.00
linha_coluna,512,O0,linha,19,0.473330,12974896.00
linha_coluna,512,O0,coluna,19,0.542846,12974896.00
linha_coluna,512,O0,linha,20,0.471716,12974896.00
linha_coluna,512,O0,coluna,20,0.544124,12974896.00
linha_coluna,512,O0,linha,21,0.476339,12974896.00
linha_coluna,512,O0,coluna,21,0.523343,12974896.00
linha_coluna,512,O0,linha,22,0.468770,12974896.00
linha_coluna,512,O0,coluna,22,0.522356,12974896.00
linha_coluna,512,O0,linha,23,0.468901,12974896.00
linha_coluna,512,O0,coluna,23,0.522808,12974896.00
linha_coluna,512,O0,linha,24,0.467298,12974896.00
linha_coluna,512,O0,coluna,24,0.526585,12974896.00
linha_coluna,512,O0,linha,25,0.467807,12974896.00
linha_coluna,512,O0,coluna,25,0.539871,12974896.00
linha_coluna,512,O0,linha,26,0.470938,12974896.00
linha_coluna,512,O0,coluna,26,0.535930,12974896.00
linha_coluna,512,O0,linha,27,0.472965,12974896.00
linha_coluna,512,O0,coluna,27,0.531524,12974896.00
linha_coluna,512,O0,linha,28,0.471947,12974896.00
linha_coluna,512,O0,coluna,28,0.538397,12974896.00
linha_coluna,512,O0,linha,29,0.486824,12974896.00
linha_coluna,512,O0,coluna,29,0.534121,12974896.00
linha_coluna,512,O0,linha,30,0.471471,12974896.00
linha_coluna,512,O0,coluna,30,0.518596,12974896.00
linha_coluna,1024,O0,linha,1,1.874663,51903600.00
linha_coluna,1024,O0,coluna,1,5.136746,51903600.00
linha_coluna,1024,O0,linha,2,1.904225,51903600.00
linha_coluna,1024,O0,coluna,2,4.737268,51903600.00
linha_coluna,1024,O0,linha,3,1.903768,51903600.00
linha_coluna,1024,O0,coluna,3,8.729110,51903600.00
linha_coluna,1024,O0,linha,4,1.900603,51903600.00
linha_coluna,1024,O0,coluna,4,6.070473,51903600.00
linha_coluna,1024,O0,linha,5,1.891911,51903600.00
linha_coluna,1024,O0,coluna,5,9.733895,51903600.00
