tamanho,otimizacao,algoritmo,media_ms,mediana_ms,desvio_padrao_ms,minimo_ms,maximo_ms,quantidade_medicoes
128,O0,blocos,3.604938125,3.5251485000000002,0.4700931642701832,3.194467,4.675495,8
128,O0,normal,4.04532725,4.0394045,0.09241264785538235,3.92209,4.237282,8
128,O2,blocos,0.682766125,0.593006,0.25803823624164,0.575811,1.320603,8
128,O2,normal,1.22590775,1.1101565,0.2536995507410572,1.091201,1.807759,8
128,O3,blocos,0.598446625,0.570388,0.06889523950366858,0.560627,0.763334,8
128,O3,normal,1.070481625,1.0402930000000001,0.07067468814613596,1.021632,1.232998,8
256,O0,blocos,27.078697,27.0146145,0.2971985027581976,26.741091,27.692719,8
256,O0,normal,31.14757725,30.759297500000002,1.3120296311138637,30.251239,34.313851,8
256,O2,blocos,5.6230305000000005,5.6218515,0.021659968051684856,5.590176,5.658248,8
256,O2,normal,8.5805155,8.581266500000002,0.032805778319418506,8.542068,8.648627,8
256,O3,blocos,5.276256875,5.223079,0.1912571388049062,5.126858,5.716957,8
256,O3,normal,8.578160875,8.5180895,0.22006787577046474,8.396933,9.052594,8
512,O0,blocos,219.075284,218.463823,2.387503841628504,216.405053,223.019091,8
512,O0,normal,320.846214375,319.49662750000005,7.305727869866959,312.237594,336.397367,8
512,O2,blocos,59.357989625,58.0516,3.988055752429708,56.118559,67.928971,8
512,O2,normal,271.513720625,272.03360799999996,4.242461204463378,264.501741,277.721985,8
512,O3,blocos,54.89674025,54.6184655,0.7206094472757577,54.201041,56.144981,8
512,O3,normal,273.42391775,273.590854,2.317509899206077,270.290161,277.828482,8
